x,z,spin_rate,release_velo,pitch_type,bats,release_x,release_y,release_z,pfx_x,pfx_z,extension,throws,bs_count,pitch_result,game_state,ump,pitcherid,catcherid,all_star
-11.44582595,28.75227214,2419.715355,97.9695686,FF,R,-1.2,53.47,5.55,-3.98,9.55,7.026,R,0-1,ball,---:0,25,3,8,before
7.932073886,0.661307737,1887.946516,92.86826061,CH,R,-1.1,53.36,5.49,-7.71,3.45,7.141,R,0-0,ball,---:2,25,3,8,before
7.619999485,48.24161894,2638.082228,96.26936025,FF,R,-1.87,54.37,5.95,-6.73,10.92,6.134,R,0-0,ball,---:0,5,2,2,after
5.796095115,41.05285872,2574.160381,95.95886816,FF,R,-1.85,54.34,5.92,-7.7,9.75,6.16,R,Jan-00,called_strike,---:0,5,2,2,after
-11.07429207,17.91878287,2043.591015,87.39973677,CH,L,-1.93,54.11,5.74,-9.9,7.67,6.385,R,0-1,called_strike,---:1,5,2,2,after
28.42567823,-17.57018175,3101.897641,86.24764457,CB,L,-1.84,54.63,6.02,3.83,-7.72,5.869,R,0-2,ball,---:1,5,2,2,after
-13.42565547,31.7511866,2767.590877,99.0919246,FF,L,-2.03,54.37,5.97,-7.63,11.52,6.13,R,2-Jan,ball,---:1,5,2,2,after
-2.17064225,14.55474143,2732.565637,98.42842757,FF,R,-1.96,54.11,5.89,-7.72,12.58,6.39,R,0-0,ball,---:2,5,2,2,after
9.291386649,34.2852615,2681.312961,97.98830456,FF,R,-1.84,54.02,5.92,-7.14,11.22,6.479,R,Jan-00,called_strike,---:2,5,2,2,after
8.01348675,32.68972395,2616.607207,97.56727529,FF,R,-1.81,54.4,5.94,-7.4,11.53,6.104,R,1-Jan,called_strike,---:2,5,2,2,after
8.255912509,14.77383054,2798.942468,90.07867629,SL,R,-1.83,54.44,5.92,2.3,1.61,6.057,R,2-Jan,ball,---:2,5,2,2,after
17.67621432,8.31647033,2681.609695,99.53771304,FF,R,-1.81,54.19,5.95,-8,12.05,6.311,R,2-Feb,ball,---:2,5,2,2,after
5.378976845,31.00905974,2620.004471,97.31164725,FF,L,-2.06,54.06,5.84,-8.32,11.12,6.439,R,0-1,called_strike,1--:2,5,2,2,after
14.83406391,47.10045197,2533.939545,96.38061352,FF,R,-1.71,54.5,6,-8.34,10.45,5.999,R,0-0,ball,---:2,5,2,2,after
5.2665471,47.74466586,2572.601873,97.04008277,FF,R,-1.87,54.2,5.94,-7.71,10.52,6.302,R,0-1,ball,---:1,5,2,2,after
13.3336925,20.97658268,2628.707738,87.97201196,SL,R,-2.03,54.67,5.86,1,-0.1,5.834,R,0-0,ball,---:2,5,2,2,after
11.23324305,8.497217778,2707.816266,89.54962283,SL,R,-1.93,54.65,5.94,0.49,1.85,5.846,R,Jan-00,ball,---:2,5,2,2,after
-13.64218481,40.4527586,2804.58588,84.51179976,CB,L,-2.01,54.9,5.89,4.12,-4.92,5.605,R,0-0,ball,---:0,5,2,2,after
-2.868911611,41.90364819,2881.007366,83.63942061,CB,L,-1.95,54.84,5.85,4,-7.79,5.661,R,Jan-00,ball,---:0,5,2,2,after
-23.49916319,40.98225363,2639.54717,98.50063,FF,L,-2.28,54.41,5.68,-9.34,9.82,6.089,R,2-Feb,ball,---:0,5,2,2,after
7.081191253,23.93017709,2909.523409,84.82902101,CB,R,-1.91,54.67,5.95,4.8,-7.91,5.833,R,0-0,called_strike,---:1,5,2,2,after
7.862647968,20.70164462,2435.807941,90.17922431,CH,L,-1.94,53.96,5.61,-9.7,10.14,6.542,R,0-0,called_strike,---:2,5,2,2,after
7.572638617,43.86035147,2721.158829,99.1691875,FF,L,-2.07,53.98,5.77,-8.74,11.19,6.525,R,0-1,ball,---:2,5,2,2,after
2.196886438,9.156530726,2049.130269,90.46313815,CH,L,-2.07,53.98,5.53,-11.52,5.69,6.519,R,2-Jan,ball,---:2,5,2,2,after
9.014880048,20.00165087,2108.850966,89.31746327,CH,L,-1.97,54.2,5.69,-8.78,9.62,6.296,R,0-0,ball,---:1,5,2,2,after
-6.335492177,22.00804926,2524.218376,98.09033105,FF,L,-2.08,54.04,5.71,-9.1,9.36,6.457,R,0-0,called_strike,1--:2,5,2,2,after
-11.68835762,49.45263109,2922.92527,83.79993776,CB,L,-2.02,54.83,5.84,5.25,-8.21,5.665,R,0-1,ball,1--:2,5,2,2,after
11.4953211,26.62771478,2577.834366,87.1922835,SL,R,-2.04,54.54,5.92,1.07,0.67,5.963,R,0-0,ball,1--:0,5,2,2,after
8.295004184,39.71042603,2571.078829,97.62200741,FF,R,-1.87,54.22,5.88,-7.64,10.21,6.283,R,1-Jan,ball,1--:0,5,2,2,after
14.65179408,36.28952231,2695.963299,98.99062656,FF,R,-1.78,54.42,5.99,-8.22,10.27,6.082,R,2-Feb,ball,1--:0,5,2,2,after
-7.476585846,27.84007377,2293.470655,89.06960299,CH,L,-2.09,54.02,5.59,-9.95,8.96,6.481,R,0-0,called_strike,---:2,5,2,2,after
